,B4,R-L,MTR,BS,MS
B4,0.9999999999999983,0.7852246767295457,0.8292063125829089,0.6104299794291617,0.8357962507967361
R-L,0.7852246767295457,1.0000000000000067,0.8705938740570089,0.7710507500691163,0.872254241986422
MTR,0.8292063125829089,0.8705938740570089,1.0000000000000009,0.7021758299461232,0.9239238809055363
BS,0.6104299794291617,0.7710507500691163,0.7021758299461232,1.0000000000000007,0.7600328728661293
MS,0.8357962507967361,0.872254241986422,0.9239238809055363,0.7600328728661293,0.9999999999999961
